workflow_id,model,iteration,passes_actionlint,n_errors,lint_time_sec
404,pro,1,True,0,0.725393295288085
405,pro,1,True,0,0.7234480381011961
406,pro,2,True,0,0.642922163009643
407,pro,1,True,0,0.683162689208984
408,pro,1,True,0,0.658846378326416
409,pro,2,True,0,0.663352251052856
410,pro,2,True,0,0.7024018764495851
411,pro,2,True,0,0.7539203166961671
412,pro,1,True,0,0.645328998565673
413,pro,1,True,0,0.669629335403442
414,pro,1,True,0,0.641987085342407
415,pro,1,True,0,0.653932571411132
416,pro,1,True,0,0.8587715625762941
417,pro,1,True,0,0.7008724212646481
418,pro,1,True,0,0.664450407028198
419,pro,1,True,0,0.6577353477478021
420,pro,2,True,0,0.672087430953979
421,pro,1,True,0,0.659956455230712
422,pro,5,False,1,0.139556884765625
423,pro,1,True,0,0.6490657329559321
424,pro,1,True,0,0.688678979873657
425,pro,1,True,0,0.6424596309661861
426,pro,5,False,1,0.658557891845703
427,pro,1,True,0,0.67401123046875
428,pro,1,True,0,0.6896514892578121
