workflow_id,condition,n_errors,n_kinds,passes_actionlint
avelino/awesome-go/.github/workflows/site-deploy.yaml/811dd9076e4c0242a34a274cf0984c89cbb36420,gold,0.0,0.0,True
avelino/awesome-go/.github/workflows/site-deploy.yaml/811dd9076e4c0242a34a274cf0984c89cbb36420,pro,1.0,1.0,False
avelino/awesome-go/.github/workflows/site-deploy.yaml/811dd9076e4c0242a34a274cf0984c89cbb36420,flash,2.0,2.0,False
axios/axios/.github/workflows/ci.yml/4fbeecbcb265767446fd61e161b39d97d6376d54,gold,2.0,1.0,False
axios/axios/.github/workflows/ci.yml/4fbeecbcb265767446fd61e161b39d97d6376d54,pro,3.0,3.0,False
axios/axios/.github/workflows/ci.yml/4fbeecbcb265767446fd61e161b39d97d6376d54,flash,4.0,2.0,False
aykutsarac/jsoncrack.com/.github/workflows/nextjs.yml/0e4286e1d761eb673f589d5dafd1fd3d44b605b5,gold,3.0,1.0,False
aykutsarac/jsoncrack.com/.github/workflows/nextjs.yml/0e4286e1d761eb673f589d5dafd1fd3d44b605b5,pro,0.0,0.0,True
aykutsarac/jsoncrack.com/.github/workflows/nextjs.yml/0e4286e1d761eb673f589d5dafd1fd3d44b605b5,flash,0.0,0.0,True
azl397985856/leetcode/.github/workflows/ci.yml/d2fe1fed571b74970b541c6fa9f554b3fec5f48c,gold,2.0,1.0,False
azl397985856/leetcode/.github/workflows/ci.yml/d2fe1fed571b74970b541c6fa9f554b3fec5f48c,pro,2.0,1.0,False
azl397985856/leetcode/.github/workflows/ci.yml/d2fe1fed571b74970b541c6fa9f554b3fec5f48c,flash,2.0,1.0,False
babel/babel/.github/workflows/release.yml/e4b48311004b70e0bfe90cddf13690c848d80d6a,gold,2.0,1.0,False
babel/babel/.github/workflows/release.yml/e4b48311004b70e0bfe90cddf13690c848d80d6a,pro,4.0,2.0,False
babel/babel/.github/workflows/release.yml/e4b48311004b70e0bfe90cddf13690c848d80d6a,flash,11.0,3.0,False
bailicangdu/vue2-elm/.github/workflows/close_inactive_issue.yml/b3c4e7ab0caa4afecf8cb3a9e4778e03f6d8f93e,gold,0.0,0.0,True
bailicangdu/vue2-elm/.github/workflows/close_inactive_issue.yml/b3c4e7ab0caa4afecf8cb3a9e4778e03f6d8f93e,pro,0.0,0.0,True
bailicangdu/vue2-elm/.github/workflows/close_inactive_issue.yml/b3c4e7ab0caa4afecf8cb3a9e4778e03f6d8f93e,flash,0.0,0.0,True
balena-io/etcher/.github/workflows/flowzone.yml/a40e64f6cd0a73ed55e0a24c3e1e5bfeb18b954c,gold,0.0,0.0,True
balena-io/etcher/.github/workflows/flowzone.yml/a40e64f6cd0a73ed55e0a24c3e1e5bfeb18b954c,pro,2.0,1.0,False
balena-io/etcher/.github/workflows/flowzone.yml/a40e64f6cd0a73ed55e0a24c3e1e5bfeb18b954c,flash,0.0,0.0,True
beego/beego/.github/workflows/test.yml/46a0dbbd1a2d5a0a7123ad0be2475e55bf111840,gold,3.0,1.0,False
beego/beego/.github/workflows/test.yml/46a0dbbd1a2d5a0a7123ad0be2475e55bf111840,pro,1.0,1.0,False
beego/beego/.github/workflows/test.yml/46a0dbbd1a2d5a0a7123ad0be2475e55bf111840,flash,0.0,0.0,True
bevyengine/bevy/.github/workflows/action-on-PR-labeled.yml/386763ecdafdca6b9241fd89ed9ec0486a3fc72e,gold,0.0,0.0,True
bevyengine/bevy/.github/workflows/action-on-PR-labeled.yml/386763ecdafdca6b9241fd89ed9ec0486a3fc72e,pro,7.0,2.0,False
bevyengine/bevy/.github/workflows/action-on-PR-labeled.yml/386763ecdafdca6b9241fd89ed9ec0486a3fc72e,flash,18.0,4.0,False
bigskysoftware/htmx/.github/workflows/ci.yml/05a1f8cba7759969748f9aadaea9ae4eb31d6447,gold,0.0,0.0,True
bigskysoftware/htmx/.github/workflows/ci.yml/05a1f8cba7759969748f9aadaea9ae4eb31d6447,pro,0.0,0.0,True
bigskysoftware/htmx/.github/workflows/ci.yml/05a1f8cba7759969748f9aadaea9ae4eb31d6447,flash,0.0,0.0,True
binary-husky/gpt_academic/.github/workflows/build-with-chatglm.yml/1404811845536adbcb04b2df8f7997029f3aa4fb,gold,18.0,1.0,False
binary-husky/gpt_academic/.github/workflows/build-with-chatglm.yml/1404811845536adbcb04b2df8f7997029f3aa4fb,pro,1.0,1.0,False
binary-husky/gpt_academic/.github/workflows/build-with-chatglm.yml/1404811845536adbcb04b2df8f7997029f3aa4fb,flash,1.0,1.0,False
binarywang/WxJava/.github/workflows/maven-publish.yml/245cf7210466d2e905d016383a948b50533ea4b8,gold,0.0,0.0,True
binarywang/WxJava/.github/workflows/maven-publish.yml/245cf7210466d2e905d016383a948b50533ea4b8,pro,0.0,0.0,True
binarywang/WxJava/.github/workflows/maven-publish.yml/245cf7210466d2e905d016383a948b50533ea4b8,flash,1.0,1.0,False
bitcoin/bitcoin/.github/workflows/ci.yml/b97b05048d8899d1df7ff67679dc18436a42609b,gold,25.0,1.0,False
bitcoin/bitcoin/.github/workflows/ci.yml/b97b05048d8899d1df7ff67679dc18436a42609b,pro,2.0,2.0,False
bitcoin/bitcoin/.github/workflows/ci.yml/b97b05048d8899d1df7ff67679dc18436a42609b,flash,3.0,2.0,False
bregman-arie/devops-exercises/.github/workflows/ci_workflow.yml/abe451f0a6c5dfc0f04465829ab5a64a610e557a,gold,1.0,1.0,False
bregman-arie/devops-exercises/.github/workflows/ci_workflow.yml/abe451f0a6c5dfc0f04465829ab5a64a610e557a,pro,0.0,0.0,True
bregman-arie/devops-exercises/.github/workflows/ci_workflow.yml/abe451f0a6c5dfc0f04465829ab5a64a610e557a,flash,0.0,0.0,True
bumptech/glide/.github/workflows/build.yml/b8570b177a7ae0619fe8300da6efb89c0b56735e,gold,0.0,0.0,True
bumptech/glide/.github/workflows/build.yml/b8570b177a7ae0619fe8300da6efb89c0b56735e,pro,0.0,0.0,True
bumptech/glide/.github/workflows/build.yml/b8570b177a7ae0619fe8300da6efb89c0b56735e,flash,0.0,0.0,True
burntsushi/ripgrep/.github/workflows/ci.yml/4858267f3b97fe2823d2ce104c1f90ec93eee8d7,gold,0.0,0.0,True
burntsushi/ripgrep/.github/workflows/ci.yml/4858267f3b97fe2823d2ce104c1f90ec93eee8d7,pro,1.0,1.0,False
burntsushi/ripgrep/.github/workflows/ci.yml/4858267f3b97fe2823d2ce104c1f90ec93eee8d7,flash,1.0,1.0,False
caddyserver/caddy/.github/workflows/ci.yml/76ac28a624cf3025cad9f8caa16e8c8a96b7466a,gold,0.0,0.0,True
caddyserver/caddy/.github/workflows/ci.yml/76ac28a624cf3025cad9f8caa16e8c8a96b7466a,pro,3.0,2.0,False
caddyserver/caddy/.github/workflows/ci.yml/76ac28a624cf3025cad9f8caa16e8c8a96b7466a,flash,8.0,3.0,False
carbon-app/carbon/.github/workflows/codeql.yml/b7bf01a465b4024e15686a432b8a4a5bf46f0a40,gold,2.0,1.0,False
carbon-app/carbon/.github/workflows/codeql.yml/b7bf01a465b4024e15686a432b8a4a5bf46f0a40,pro,2.0,1.0,False
carbon-app/carbon/.github/workflows/codeql.yml/b7bf01a465b4024e15686a432b8a4a5bf46f0a40,flash,0.0,0.0,True
carbon-language/carbon-lang/.github/workflows/clangd_tidy.yaml/6db13532ca9e2cfb906050b6c0a98540f30a25bd,gold,2.0,2.0,False
carbon-language/carbon-lang/.github/workflows/clangd_tidy.yaml/6db13532ca9e2cfb906050b6c0a98540f30a25bd,pro,2.0,1.0,False
carbon-language/carbon-lang/.github/workflows/clangd_tidy.yaml/6db13532ca9e2cfb906050b6c0a98540f30a25bd,flash,7.0,2.0,False
certbot/certbot/.github/workflows/assigned.yaml/d3aceba188d3e4513567d19ca1a94d5b3298013e,gold,1.0,1.0,False
certbot/certbot/.github/workflows/assigned.yaml/d3aceba188d3e4513567d19ca1a94d5b3298013e,pro,1.0,1.0,False
certbot/certbot/.github/workflows/assigned.yaml/d3aceba188d3e4513567d19ca1a94d5b3298013e,flash,1.0,1.0,False
chakra-ui/chakra-ui/.github/workflows/quality.yml/1839e22ebad1c2a52795eac5fd0b3eb38ae03f9c,gold,0.0,0.0,True
chakra-ui/chakra-ui/.github/workflows/quality.yml/1839e22ebad1c2a52795eac5fd0b3eb38ae03f9c,pro,0.0,0.0,True
chakra-ui/chakra-ui/.github/workflows/quality.yml/1839e22ebad1c2a52795eac5fd0b3eb38ae03f9c,flash,0.0,0.0,True
charmbracelet/bubbletea/.github/workflows/coverage.yml/8d361ae2b7ca4b65309513c6a4a4874141c75ede,gold,1.0,1.0,False
charmbracelet/bubbletea/.github/workflows/coverage.yml/8d361ae2b7ca4b65309513c6a4a4874141c75ede,pro,2.0,1.0,False
charmbracelet/bubbletea/.github/workflows/coverage.yml/8d361ae2b7ca4b65309513c6a4a4874141c75ede,flash,0.0,0.0,True
chartjs/chart.js/.github/workflows/ci.yml/aff7d411404fe3499b9cd11333fb45d5922cdf91,gold,0.0,0.0,True
chartjs/chart.js/.github/workflows/ci.yml/aff7d411404fe3499b9cd11333fb45d5922cdf91,pro,0.0,0.0,True
chartjs/chart.js/.github/workflows/ci.yml/aff7d411404fe3499b9cd11333fb45d5922cdf91,flash,0.0,0.0,True
chatchat-space/Langchain-Chatchat/.github/workflows/label_ad_issue.yml/f8f0faf6b40e8208dea5eb193c1f2b6e5f7f09f0,gold,6.0,1.0,False
chatchat-space/Langchain-Chatchat/.github/workflows/label_ad_issue.yml/f8f0faf6b40e8208dea5eb193c1f2b6e5f7f09f0,pro,2.0,2.0,False
chatchat-space/Langchain-Chatchat/.github/workflows/label_ad_issue.yml/f8f0faf6b40e8208dea5eb193c1f2b6e5f7f09f0,flash,7.0,3.0,False
ChatGPTNextWeb/ChatGPT-Next-Web/.github/workflows/test.yml/ad49916b1c9b9ba557d3141ea5bea88a9350a918,gold,16.0,1.0,False
ChatGPTNextWeb/ChatGPT-Next-Web/.github/workflows/test.yml/ad49916b1c9b9ba557d3141ea5bea88a9350a918,pro,2.0,1.0,False
ChatGPTNextWeb/ChatGPT-Next-Web/.github/workflows/test.yml/ad49916b1c9b9ba557d3141ea5bea88a9350a918,flash,3.0,2.0,False
ChatGPTNextWeb/NextChat/.github/workflows/test.yml/ad49916b1c9b9ba557d3141ea5bea88a9350a918,gold,16.0,1.0,False
ChatGPTNextWeb/NextChat/.github/workflows/test.yml/ad49916b1c9b9ba557d3141ea5bea88a9350a918,pro,1.0,1.0,False
ChatGPTNextWeb/NextChat/.github/workflows/test.yml/ad49916b1c9b9ba557d3141ea5bea88a9350a918,flash,4.0,3.0,False
